Title,Yapımşirketi,Yönetmen,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Hayal ve Gerçek,Süreç Film,Gürcan Mete Şener,1,7 Temmuz 2007 - 1 Eylül 2007,Komedi -  - Fantastik -  - Romantik,atv,Yasemin Hadivent -  - Cem Kılıç -  - Zuhal Yalçın
Küçük Hanımefendi,AT Yapım,Serpil Kurtça -  - Özer Kızıltan,2,25 Şubat 2011 - 2 Mart 2012,Dram,TRT 1,Cansu Tosun -  - Barış Bağcı -  - Derya Alabora -  - Beyazıt Gülercan -  - Arsen Gürzap -  - Rıza Sönmez -  - Barış Hayta -  - Gamze Yarka -  - Zeynep Irgat -  - Ece Özdikici -  - Gamze Ozan -  - Gizem Akbal -  - Taner Ertürkler -  - Görkem Yeltan -  - Edip Saner -  - Yeliz Akkaya -  - Kazım Akşar -  - Serena Yapaöz -  - Arda Canikoğlu -  - Barış Arduç
Hercai,Mia Yapım,Cem Karcı -  (1-34) -  - Benal Tairi -  (1-34) -  - Barış Yöş -  (35-43)  -  - Ali İlhan -  (44-69),3,15 Mart 2019 - 25 Nisan 2021,Dram -  - Aşk,atv,Akın Akınözü -  - Ebru Şahin
Maviye Sürgün,O3 Medya,Nezaket Coşkun,1,12 Haziran 2023 - 6 Aralık 2023,Dram,Show TV -  (1-13),Caner Cindoruk -  - Damla Sönmez -  - Serkan Altunorak
Deli Gönül,25 Film,Selim Demirdelen -  - Berat Özdoğan,1,4 Temmuz 2017 - 4 Eylül 2017,Dram,FOX,Murat Ünalmış -  - Tuvana Türkay -  - Ayşe Çiğdem Batur -  - Ogün Kaptanoğlu
Uğurlugiller,STR,Gürol Gökçe -  - Uğur Erkır -  - Aram Gülyüz,4,6 Temmuz 1988 - 28 Ocak 1991,Durum komedisi,TRT 1 -  (1988-1991),Yıldız Kenter -  - Şükran Güngör -  - Tevfik Gelenbe -  - Gül Onat -  - Mehmet Birkiye -  - Mübeccel Vardar -  - Ayhan Kavas -  - Mustafa Alabora -  - Savaş Dinçel
Şaban Askerde,Kanat Film,Orhan Oğuz,1,1993 - 1994,Komedi,Star TV,Kemal Sunal -  - Halit Akçatepe -  - Özlem Savaş -  - Canan Öztürk -  - Yaman Tarcan -  - Hüseyin Köroğlu -  - Nihat Nikerel -  - Dinçer Çekmez
Bizim Hikaye,Medyapım,Serdar Gözelekli -  - (1-37) -  - Koray Kerimoğlu -  - (38-70),2,14 Eylül 2017  ( 2017-09-14 )  -  23 Mayıs 2019  ( 2019-05-23 ),Komedi -  - Dram,FOX,Hazal Kaya -  - Burak Deniz -  - Reha Özcan -  - Yağız Can Konyalı -  - Mehmet Korhan Fırat -  - Mehmetcan Mincinozlu -  - Sahra Şaş -  - Nejat Uygur
Yalancı Yarim,MF Yapım,Özer Kızıltan -  - Şengül Halat Atak,1,21 Temmuz 2006 - 30 Haziran 2007,Aşk -  - Romantik -  - Komedi,Star TV,Barış Akarsu -  - Merve Sevi -  - Bülent Kayabaş -  - Ayşe Kökçü
Çember,ANS Productions,Fulya Yavuzoğlu -  (1-11) -  - Mahir Aktaş -  (1-11) -  - Abdullah Oğuz -  (12-19),3,3 Temmuz 2017 - 16 Mayıs 2022,Polisiye -  - Gerilim -  - Aksiyon,Star TV -  (2017-2019) -  - (11 bölüm) -  - Kanal D -  (2021-2022) -  - (8 bölüm),Pelin Akil -  - Barış Bağcı -  - Anıl Altan -  - Serhat Kılıç -  - Olgun Toker -  - Özgürcan Çevik -  - Tuvana Türkay -  - Serdar Orçin
Tek Yürek,Degas Film,Mehmet Ada Öztekin -  (1) -  - Nezaket Coşkun -  (2-22),1,7 Şubat 2019 - 25 Temmuz 2019,Aile -  - Gençlik -  - Aksiyon -  - Spor,TRT 1,Tayanç Ayaydın -  - Vildan Atasever -  - Hilmi Cem İntepe -  - Anıl Tetik -  - Alpay Kemal Atalan -  - Eslem Akar -  - Tugay Bahşi -  - Arda Anarat -  - Atakan Yılmaz -  - Kaan Altay Köprülü
Salih Kuşu,Süreç Film,Ersoy Güler,1,9 Mayıs 2013  ( 2013-05-09 )  -  18 Temmuz 2013  ( 2013-07-18 ),Komedi,Show TV,Levent Ülgen -  - Ayçin İnci -  - Goncagül Sunar -  - Bekir Aksoy -  - Murat Eken
Yalnız Kalpler,Bros Film Mavi Yapım,Cevriye Demir,1,9 Ocak 2023 - 9 Haziran 2023,Dram,FOX,Sena Şahin -  - Taygun Sungar -  - Elif Gülhan -  - Furkan Kapsız
Kahve Bahane,Altıoklar Film,Mustafa Altıoklar -  - Müge Turalı -  - Ayşin Akbulut -  - Ali Ercivan,1,2009 - 2010,Komedi -  - Sitcom,Türkmax - [1],Melike Öcalan -  - Gülden Güney -  - Cenk Tunalı
Serseri,Yağmur Ajans,Cem Akyoldaş,2,14 Temmuz 2003  ( 2003-07-14 )  -  25 Ekim 2004  ( 2004-10-25 ),Romantik -  - Drama -  - Komedi,Kanal D,Gamze Özçelik -  - Okan Yalabık -  - Erkan Petekkaya -  - Cüneyt Arkın
Mert ile Gert,Plato Film,Hakan Algün,1,18 Temmuz 2008 - 3 Şubat 2009,Komedi,TRT 1,Emre Altuğ -  - Ragga Oktay -  - Begüm Birgören -  - Ayşen Gruda -  - Zihni Göktay -  - Aşkın Şenol -  - Işılay Gül -  - Eylem Yıldız -  - Serkan Keskin
Sıla,Fm Yapım Most Production,Yasin Uslu -  - Gül Oğuz,3,15 Eylül 2006 - 19 Eylül 2008,Dram -  - Aksiyon,atv,Cansu Dere -  - Mehmet Akif Alakurt -  - Zeynep Eronat -  - Menderes Samancılar -  - Devrim Saltoğlu -  - Fatoş Tez -  - Fatoş Sezer -  - Muhammed Cangören -  - Cemal Toktaş -  - Boncuk Yılmaz -  - Gökçe Yanardağ -
Fatih,Medyapım,Merve Girgin -  - Faruk Teber,1,30 Eylül 2013 - 4 Kasım 2013,Drama -  - Tarihî,Kanal D -  ( - HD - ),Mehmet Âkif Alakurt -  - Gamze Özçelik -  - Seda Akman -  - Dağhan Külegeç -  - Hande Soral -  - Birkan Sokullu -  - Salih Bademci -  - Müjde Uzman -  - İbrahim Selim -  - Furkan Şentürk
Sevda Kuşun Kanadında,Sonart Medya,Ayhan Özen,2,29 Nisan 2016 - 28 Mart 2017,Tarihî -  - Dram -  - Aşk,TRT 1 -  ( - HD - ),Sevtap Özaltun -  - Murat Ünalmış
Bir Deniz Hikayesi,Erler Film,Aydın Bulut -  - İlker İnanoğlu,1,15 Eylül 2015 - 10 Kasım 2015,Dram,Kanal D,Emir Berke Zincidi -  - Begüm Birgören -  - Emre Kızılırmak -  - Ozan Çobanoğlu -  - Başak Parlak
Hüsnü Bey Amca,TRT,Ülkü Erakalın,3,9 Ocak 1994 - 23 Şubat 1997,Komedi -  - Sitcom,TRT 1 -  (1994-1997),Gazanfer Özcan -  - Gönül Ülkü -  - Doğu Erkan -  - Gazanfer Ündüz -  - Fulya Özcan -  - Tarık Ündüz
Canım Ailem,TMC Film,Sadullah Celen,2,18 Kasım 2008 - 9 Haziran 2010,Aile -  - Komedi,atv,Uğur Yücel -  - Ozan Güven -  - Şebnem Bozoklu -  - Funda Eryiğit -  - Ezgi Mola -  - İlker Aksum -  - Oktay Gürsoy -  - Sezgi Mengi -  - Deniz Denker -  - Alpay Şayhan -  - Ayçe Abana -  - Bengi Öztürk -  - Hikmet Körmükçü -  - Candan Sabuncu -  - Nejat Birecik -  - Haldun Boysan -  - Onur Ünsal -  - Begüm Kütük Yaşaroğlu -  - Şeyda Şaşmaz
Ferhunde Hanımlar,TRT  İç Yapımlar (1993-1994) Ankara ODA Yapım (1995-1999),Tülay Eratalay -  - Murat Karahüseyinoğlu -  - Gülsen U. Erişdi -  - Altan Yücel - [1],7,12 Nisan 1993  ( 1993-04-12 ) [1]  - 13 Ocak 1999,Dram,TRT 1 -  (1993-1994)  - Star TV -  (1995-1999),Beyhan Saran -  - Baykal Saran -  - Güven Hokna -  - Melek Baykal -  - Hatice Aslan -  - Şahap Sayılgan -  - İpek Çeken -  - Tamer Karadağlı
Hayatımın Aşkı,Lucky Red,Hakan Kırvavaç,1,15 Mayıs 2016 - 18 Eylül 2016,Romantik komedi,Kanal D,Serkan Çayoğlu -  - Hande Doğandemir
Hepsi 1,Süreç Film,Kartal Çidamlı -  (1-48) -  - Yonca Güzelpınar -  (49-51),2,13 Mayıs 2007  ( 2007-05-13 )  -  3 Haziran 2008  ( 2008-06-03 ),Duygusal -  - Komedi,Show TV -  (2007) -  - atv -  (2007-2008),Cemre Kemer -  - Eren Bakıcı -  - Gülçin Ergül -  - Yasemin Yürük
Fırtına,BKM,Metin Balekoğlu,1,3 Temmuz 2006 - 16 Haziran 2007,Komedi -  - Aile,Kanal D,Burçin Terzioğlu -  - Murat Yıldırım -  - Zerrin Sümer -  - Jale Aylanç -  - Salih Kalyon -  - Münir Canar -  - Erkan Can -  - Ayşen Gruda -  - Orhan Eşkin -  - Ömür Arpacı -  - Deniz Erözen -  - Cezmi Baskın -  - Nihan Büyükağaç -  - Türkü Hazer -  - Emirşah Bora -  - Fırat Can Aydın
İlişki Durumu: Karışık,MF Yapım,Bülent İşbilen,1,4 Temmuz 2015 - 27 Nisan 2016,Aşk -  - Gençlik -  - Romantik komedi,Show TV -  ( - HD - ),Seren Şirince -  - Berk Oktay -  - Eda Ece -  - Pamir Pekin -  - Nurseli İdiz
Darısı Başımıza,Gold Film,Barış Yöş -  - Zeliha Orman,1,4 Temmuz 2018 - 1 Ağustos 2018,Dram -  - Aile -  - Komedi,Show TV,Ozan Dolunay -  - Elif Doğan
Esir Şehrin İnsanları,TRT,Cafer Özgül,1,2003 - 2003,Dram -  - Tarihî,TRT 1,Emre Kınay -  - Zeynep Tokuş -  - Fikret Kuşkan -  - Başak Köklükaya -  - Seray Sever -  - Zafer Algöz -  - Ali Sirmen
Gel Dese Aşk,Sinegraf,Murat Onbul,1,8 Mart 2020 - 29 Mart 2020,Dram,atv,Erkan Petekkaya -  - Şebnem Bozoklu -  - İlayda Çevik
Fatih Harbiye,Koliba Film,Sadullah Celen,2,31 Ağustos 2013 - 10 Aralık 2014,Dram -  - Romantik,FOX -  ( - HD - ) (2013)  -  - Show TV -  (2013-2014),Kadir Doğulu -  - Neslihan Atagül -  - Yunus Emre Yıldırımer -
Büyük Sürgün Kafkasya,314 Film Yapım,Mehmet Ada Öztekin,1,15 Aralık 2015  ( 2015-12-15 )  -  5 Ocak 2016  ( 2016-01-05 ),Tarihî -  - Dram,TRT 1 -  ( - HD - ),Tolga Sarıtaş -  - Elif Atakan -  - Nilüfer Açıkalın -  - Ertan Saban -  - Luran Ahmeti -  - Melis Birkan -  - Elyesa Kaso -  - Mustafa Jasar -  - Erman Saban
Eyvah Kızım Büyüdü,ANS,Orhan Cesur -  - Filiz Kaynak -  - Bülent Özdural,2,22 Mart 2000  ( 2000-03-22 ) [1]  -  23 Mayıs 2001  ( 2001-05-23 ) [2],Komedi,Kanal D -  (2000-2001),Haluk Bilginer -  - Yıldız Asyalı -  - Alp Öyken -  - Uğur Kıvılcım -  - Savaş Ay
Güneşi Beklerken,D Productions,Altan Dönmez,1,2 Temmuz 2013 - 27 Temmuz 2014,Gençlik -  - Drama,Kanal D -  ( - HD - ),Emre Kınay -  - Hande Doğandemir -  - Kerem Bürsin -  - Yağmur Tanrısevsin -  - İsmail Ege Şaşmaz -  - Ebru Aykaç
A.Ş.K.,Gold Film,Ömür Atay,1,25 Eylül 2013 - 30 Aralık 2013,Aşk -  - Drama,Kanal D -  ( - HD - ),Nebahat Çehre -  - Hazal Kaya -  - Hakan Kurtaş -  - Kaan Urgancıoğlu -  - Aslı Tandoğan -  - Erkan Can
Gençliğim Eyvah,Süreç Film,"Deniz Yılmaz Şayir -  (1-17) -  - Doğa Can Anafarta -  (8-9, 11-17)",1,15 Haziran 2020 - 5 Ekim 2020,Komedi -  - Dram -  - Aile,atv,Cengiz Bozkurt -  - Levent Ülgen -  - Günay Karacaoğlu -  - Ulviye Karaca -  - Ekin Mert Daymaz -  - Elif Doğan -  - Burak Tozkoparan -  - Bahar Süer -  - Erdem Kaynarca -  - Zehra Yılmaz -  - Kemal Uçar -  - Beyti Engin
İkisini de Sevdim,Erler Film,Cem Tabak,1,27 Nisan 2017 - 11 Mayıs 2017,Dram -  - Aşk,atv,Amine Gülşe -  - Burak Serdar Şanal -  - Oktay Gürsoy
Yaprak Dökümü,Ay Yapım,Mesude Erarslan,5,13 Eylül 2006 - 29 Aralık 2010,Aile -  - Drama,Kanal D -  ( - HD - ) (2006-2010),Halil Ergün -  - Güven Hokna -  - Bennu Yıldırımlar -  - Deniz Çakır -  - Tolga Karel -  - Caner Kurtaran -  - Hasan Küçükçetin -  - Gökçe Bahadır -  - Fahriye Evcen -  - Bedia Ener -  - Seda Demir
Kod Adı,Serap Yapım,Tevfik Şenol,1,4 Eylül 2006 - 13 Kasım 2006,Polisiye,Kanal D,Gerçek Sağlar -  - Özgür Özberk -  - Korel Cezayirli -  - Onur Saylak -  - Nuri Gökaşan
Mahşer-Nabucco'nun Zehri,Doludizgin Creative Films,Koray Demir,1,11 Aralık 2007 - 11 Ocak 2008,Aksiyon,atv,Mahir Günşiray -  - İpek Tuzcuoğlu -  - Ahmet Uz -  - İstemi Betil -  - Ali Başar -  - Nesligül Deniz Çaltıl -
Bir Çocuk Sevdim,TMC,Cevdet Mercan -  - Murat Düzgünoğlu,1,9 Eylül 2011 - 18 Haziran 2012,Dram -  - Aile,Kanal D -  ( - HD - ) (2011)  -  - Star TV -  (2012),Bülent İnal -  - Çetin Tekindor -  - Hakan Kurtaş -  - Gülcan Arslan
Yalancı Romantik,Mint Prodüksiyon,Birkan Uz,2,13 Nisan 2008 [1]  - 11 Ocak 2010,Komedi -  - Aile,Kanal 1 -  (2008)  -  - FOX -  (2008-2010),Hakan Yılmaz -  - Ebru Cündübeyoğlu -  - Necmi Yapıcı -  - Asuman Dabak -  - Melih Ekener -  - Zerrin Sümer -  - Yalçın Menteş -  - Umut Oğuz
Makber,Pana Film,Kemal Uzun,1,23 Aralık 2009 - 3 Şubat 2010,Dram -  - Aşk,Star TV,Seda Bakan -  - Devrim Nas -  - Gamze Karaman -  - Murat Başoğlu -  - Gaye Gürsel -  - Soydan Soydaş
Haziran Gecesi,Gold Film,Andaç Haznedaroğlu,2,13 Eylül 2004 - 20 Şubat 2006,Dram,Kanal D,Özcan Deniz -  - Naz Elmas -  - Nebahat Çehre -  - Demir Karahan
Kocaman Ailem,Mia Yapım,Sadullah Şentürk,1,31 Mayıs 2018 - 26 Temmuz 2018,Dram -  - Komedi -  - Aile,atv,Levent Ülgen -  - Emre Karayel -  - Özlem Türkad -  - Çağla Demir -  - Necmi Yapıcı -  - Berkay Tulumbacı -  - Çağrı Çıtanak -  - Zeynep Gülmez
Eltiler,Renk Yapım,Mahinur Ergun -  - Uğur Erkır -  - Serpil Kurtça -  - Erdoğan Ergözen,2,2 Şubat 1998 - 25 Nisan 1999,"Komedi - ,  - Duygusal - ,  - Aile",TGRT -  (1998-1999),Sevinç Aktansel -  - Engin Şenkan -  - Betül Arım -  - Ayşen İnci
Zeytin Tepesi,MF Yapım,Barış Yöş,1,5 Şubat 2014 - 2 Nisan 2014,Dram -  - Gerilim -  - Aşk,Kanal D -  ( - HD - ),Aslıhan Gürbüz -  - Tayanç Ayaydın
Taçsız Prenses,MF Yapım,Volkan Keskin,2,10 Ocak 2023 - 24 Haziran 2023,Dram,FOX,İsmail Hacıoğlu -  - Sümeyye Aydoğan -  - Elif Kurtaran -  - Tarık Papuççuoğlu
Hırsız Polis,TMC Film,Türkan Derya Güven,2,26 Ekim 2005 - 15 Mart 2007,Polisiye,Kanal D,Uğur Yücel -  - Timuçin Esen -  - Özlem Düvencioğlu -  - Murat Daltaban -  - Erol Günaydın -  - Ozan Güven -  - Rasim Öztekin -  - Dağhan Külegeç -  - Hakan Boyav -  - Yasemin Çonka -  - Vahide Perçin -  - Ahmet Saraçoğlu -  - İpek Bilgin
Kader Ayırsa Bile,Star TV,Tunca Yönder,1,16 Kasım 2002 - 2002,Dram,Star TV -  (2002),Esra Ronabar -  - Serkan Üstüner -  - Suna Dizdar -  - Erdoğan Kapısız -  - Ulvi Alacakaptan -  - Sühan Karaduman -  - Betül Kızılok Bavli -  - Fırat Çöloğlu
Kaynanalar,TRT,Tekin Akmansoy -  - Arzu Akmansoy,14,19 Mayıs 1974 - 24 Ocak 2005,Sitcom,"TRT -  (1974-1988), (2000-2002), (2005) -  - Kanal D -  (1997-1999)",Tekin Akmansoy -  - Leman Çıdamlı -  - Defne Yalnız -  - Sevda Aydan -  - Ege Aydan -  - Münir Caner -  - Sermin Hürmeriç -  - Sezai Aydın
Baraj,Medyapım No Dokuz Productions,Hasan Tolga Pusat,1,17 Mart 2020 - 11 Mayıs 2021,Dram,FOX,Feyyaz Duman -  - Biran Damla Yılmaz -  - Burak Yörük
Bizim Kuruntu Ailesi,TGRT,Bülent Özdural,2,2 Kasım 1997 - 13 Aralık 1998,Sitcom,TGRT -  (1997-1998),Gazanfer Özcan -  - Gönül Ülkü -  - Doğu Erkan -  - Gazanfer Ündüz -  - Fulya Özcan -  - Doğan Aybay -  - Şemsay Çankara -  - Saltuk Kaplangı -  - Tomris Oğuzalp -  - Aliye Tölak -  - Tarık Ündüz -  - Engin Gürmen -  - Ferdi Atuner -  - Şensel Uykal -  - Reyhan Ayyüzlü
Kaygısızlar,3 Nokta Film,Oğuz Yalçın -  - Ayhan Önal -  - Cankat Ergin -  - Samim Değer -  - Temel Gürsu -  - Uğur Erkır,4,18 Ekim 1994 - 1 Haziran 1998,Komedi,"Kanal D -  (1994-1995), (1996-1997) -  - Star TV -  (1995, 1998) -  - Kanal 6 -  (1995-1996)",Ercan Yazgan -  - Halit Akçatepe -  - Ayşen Gruda -  - Gülçin Hatıhan -  - Çiçek Dilligil -  - Yılmaz Köksal -  - Sibel Seyhan -  - Şoray Uzun -  - Damla Özen -  - Yalçın Avşar -  - Ülkü Duru
İki Yalancı,Tükenmezkalem Film,Eda Teksöz,1,10 Temmuz 2017 - 4 Eylül 2017,Komedi -  - Romantik,Kanal D,Keremcem -  - Yağmur Tanrısevsin
Tuzak,Fabrika Yapım Acun Medya,Aytaç Çiçek,1,19 Ekim 2022 - 28 Nisan 2023,Dram,TV8,Akın Akınözü -  - Bensu Soral -  - Talat Bulut
Fazilet Hanım ve Kızları,Avşar Film,Murat Saraçoğlu,2,25 Mart 2017 - 9 Haziran 2018,Dram,Star TV,Nazan Kesal -  - Deniz Baysal Yurtcu -  - Çağlar Ertuğrul -  - Mahir Günşiray -  - Tolga Güleç -  - Hazal Türesan -  - Afra Saraçoğlu -  - İdris Nebi Taşkan -  - Alp Navruz -  - Tuğba Melis Türk -  - Ecem Baltacı
Seven Ne Yapmaz,MF Yapım,Bora Onur,1,6 Eylül 2017  ( 2017-09-06 )  -  15 Kasım 2017  ( 2017-11-15 ),Aşk -  - Romantik,atv,Yusuf Çim -  - Seren Şirince
Fedai,D Productions,Güzide Balcı,1,16 Kasım 2007 - 12 Ocak 2008,Drama,Star TV,Seda Sayan -  - Tamer Karadağlı -  - Metin Belgin -  - Güliz Gençoğlu -  - İpek Tanrıyar -  - Enginay Gültekin -  - Mutlu Güney -  - Atilla Yiğit -  - Ergül Coşkun -  - Selen Uçer -  - Kaan Olcay -  - Şeyda Şaşmaz
Şeytan Ayrıntıda Gizlidir,Renkli Türkçe Film Yapım,Cevdet Mercan,1,13 Ocak 2004 - 6 Nisan 2004,Polisiye,TRT 1 -  (2004),Çetin Tekindor -  - Nejat İşler -  - İrem Altuğ -  - Meral Çetinkaya -  - Fırat Tanış -  - Ali Sürmeli -  - Ümit Acar -  - Engin Cezzar -  - Erol Keskin -  - Fatih Koyunoğlu -  - Levend Yılmaz -  - Gazanfer Ündüz -  - Mete Horozoğlu -  - Aytekin Özen -  - Mert Turak -  - Ayşen İnci -  - Erkan Kolçak Köstendil -  - Hasan Küçükçetin -  - Fulya Ündüz -  - İnan Ulaş Torun -  - Umut Sinem Tuncer -  - Ayhan Taş -  - Halil İbrahim Aras -  - İhsan Devrim -  - Ayhan Eroğlu
Güzel Günler,TMC Film,Osman Taşcı,1,6 Kasım 2022 - 18 Haziran 2023,Komedi -  - Aile,Show TV,Binnur Kaya -  - Ecem Erkek -  - Leyla Tanlar -  - Zeynep Çamcı -  - Olgun Toker -  - Burak Dakak -  - Yıldıray Şahinler
Saklı Kalan,Esprit De Corps Production,Mehmet Ada Öztekin,1,19 Aralık 2013 - 2014,Dram,Show TV,Melis Birkan -  - Muhammet Uzuner -  - Meral Çetinkaya
Ruhumun Aynası,Bando Yapım,Bülent İşbilen,1,8 Temmuz 2014 - 19 Ağustos 2014,Komedi -  - Aile -  - Romantik,FOX -  ( - HD - ),Tuba Ünsal -  - Filiz Ahmet -  - Özgürcan Çevik -  - Engin Alkan -  - Suzan Aksoy -  - Murat Akkoyunlu -  - Barış Yalçın -  - Bora Akkaş -  - Ayşen Gruda -  - Aliye Uzunatağan -  - Rıza Akın -  - Haktan Pak -  - Mihrace Yekenkülüğ -  - Alpay Şayhan -  - Funda Güray -  - Belit Özükan
Yalan Dünya,D Productions,Jale Atabey Özberk,4,13 Ocak 2012  ( 2012-01-13 )  -  19 Kasım 2014  ( 2014-11-19 ),Komedi -  - Sit-com,Kanal D -  ( - HD - )  -  - teve2 -  (Tekrar),Altan Erkekli -  - Füsun Demirel -  - Olgun Şimşek -  - Beyazıt Öztürk -  - Gülse Birsel -  - Hasibe Eren -  - Sarp Apak -  - Öner Erkan
Kalp Yarası,Süreç Film,Yıldız Hülya Bilban,1,28 Haziran 2021 - 21 Şubat 2022,Aşk -  - Dram,atv,Gökhan Alkan -  - Yağmur Tanrısevsin
Tövbeler Tövbesi,Limon Film,Aydın Bulut -  - Seben Delice,1,25 Mart 2011 - 24 Ocak 2012,Dram -  - Romantik -  - Komedi,atv -  ( - HD - ),Tuba Ünsal -  - Cemal Toktaş -  - Fulya Zenginer -  - Keremcem -  - Füsun Demirel -  - Rıza Akın -  - Cihat Tamer -  - Pınar Dikici
Doludizgin Yıllar,Sinegraf,Osman Sınav -  - Raşit Çelikezer,2,6 Ağustos 2008 - 8 Şubat 2010,Dram,atv -  (6 Ağustos 2008-24 Eylül 2008)  -  - TRT 1 -  (3 Kasım 2008-8 Şubat 2010),Yusuf Ömer Sınav -  - Selen Seyven -  - Arda Kural -  - Erdal Cindoruk -  - Damla Debre -  - Ayşegül İşsever -  - Mehmet Polat -  - Suat Güzey -  - Yılmaz Calayır -  - Deniz Özpınar -  - Yağız Bankoğlu -  - Hüseyin Soysalan
Sultan Makamı,Avşar Film,Aydın Bulut,1,Eylül 2003 - Mart 2004,Dram,Kanal D,Şevket Çoruh -  - Başak Köklükaya -  - Uğur Polat -  - Dolunay Soysert -  - Kerem Atabeyoğlu -  - Suzan Elif Kılınç
Afili Aşk,ARC Film,Serdar Gözelekli,1,12 Haziran 2019 - 19 Mart 2020,Romantik komedi,Kanal D,Çağlar Ertuğrul -  - Burcu Özberk
Arıza,O3 Medya,Recai Karagöz,1,13 Eylül 2020 - 11 Nisan 2021,Aksiyon -  - Dram,Show TV,Tolga Sarıtaş -  - Ayça Ayşin Turan -  - Ahmet Mümtaz Taylan
Hangimiz Sevmedik,BSK Yapım,Metin Balekoğlu,1,15 Temmuz 2016 - 22 Mayıs 2017,Dram -  - Komedi,TRT 1,Can Yaman -  - Selen Soyder -  - Yeliz Kuvancı
Sihirli Safiye,D Productions,Yavuz Figenli,1,1 Ocak 1994  ( 1994-01-01 )  -  3 Eylül 1994  ( 1994-09-03 ),Fantastik -  - Aile -  - Komedi,Kanal D,Seden Kızıltunç -  - Oğuz Oktay -  - Ayben Erman -  - Şerif Arslan -  - Fatoş Kara
Kuzgun,Ay Yapım,Ali Bilgin,2,13 Şubat 2019 - 16 Ekim 2019,Dram,Star TV,Barış Arduç -  - Burcu Biricik
Söz,Tims&B Productions,Yağız Alp Akaydın,3,3 Nisan 2017  ( 2017-04-03 )  -  27 Mayıs 2019  ( 2019-05-27 ),Askeri -  - Aksiyon -  - Savaş -  - Dram,Star TV,Tolga Sarıtaş -  - Aybüke Pusat -  - Deniz Baysal Yurtcu -  - Serhat Kılıç -  - Sarp Akkaya -  - Nihat Altınkaya -  - Aytaç Şaşmaz -  - Mehmet Özgür -  - Meriç Aral -  - Burak Sevinç -  - Görkem Sevindik -  - Eren Vurdem -  - Mustafa Yıldıran -  - Doğukan Polat -  - Çağan Atakan Arslan
Yanık Koza,Limon Film,Murat Saraçoğlu -  - Özer Kızıltan -  - Mesude Erarslan,3,6 Nisan 2005  ( 2005-04-06 ) [3]  -  21 Şubat 2007  ( 2007-02-21 ) [4],Dram -  - Genel,Show TV,Yavuz Bingöl -  - Başak Köklükaya -  - Çolpan İlhan -  - Ayça İnci -  - Mustafa Alabora -  - Burak Davutoğlu -  - Tuncer Necmioğlu -  - Serdar Özer -  - Başak Daşman -  - Kemal Okur -  - Barış Erdi -  - Perihan Savaş -  - Mete Horozoğlu -  - Sedef Avcı -  - Hande Kazanova -  - Saadet Gürses -  - Erdal Cindoruk -  - Ali Karagöz -  - Yavuz Karakaş
Sıkı Dostlar,Fox TV,Birkan Uz,1,21 Şubat 2009 [1]  - 2009,Komedi,Türkmax -  (2009)  -  - FOX -  (2009),Haluk Bilginer -  - Özkan Uğur -  - Seray Sever -  - Nez -  - Hasibe Eren -  - Ömür Arpacı -  - Ayşenur Yazıcı -  - Hakan Bilgin -  - Aydoğan Oflu -  - Özlem Türkad -  - Okan Tangücü
Kimse Bilmez,Baba Yapım,U. Hakan Eren -  (1-27) -  - Kartal Çidamlı -  (1-17) -  - Reyhan Pekar -  (18-27),1,11 Haziran 2019 - 29 Aralık 2019,Dram -  - Aile,atv,Keremcem -  - Özgü Kaya -  - Engin Hepileri -  - Burak Serdar Şanal
Karadayı,Ay Yapım,Uluç Bayraktar -  - Cem Karcı,3,8 Ekim 2012 - 15 Haziran 2015,Aksiyon -  - Dram -  - Politik,atv -  ( - HD - ),Kenan İmirzalıoğlu -  - Bergüzar Korel -  - Çetin Tekindor -  - Yurdaer Okur
Payitaht: Abdülhamid,Es Film,Serdar Akar -  - Emre Konuk -  - Doğan Ümit Karaca - [1],5,24 Şubat 2017 - 4 Haziran 2021,Tarihî -  - Aksiyon -  - Dram -  - Kurgu,TRT 1,Bülent İnal -  - Özlem Conker -  - Saygın Soysal -  - Ezgi Eyüboğlu -  - Akın Akınözü -  - Hakan Boyav -  - Selen Öztürk -  - Eren Hacısalihoğlu -  - Bahadır Yenişehirlioğlu -  - Vildan Atasever -  - Erkan Avcı -  - Gürkan Uygun -  - İsmail Hakkı Ürün
Bir Litre Gözyaşı,Medyapım MF Yapım,Serhan Şahin,1,7 Ekim 2018  ( 2018-10-07 )  - 3 Şubat 2019,Dram -  - Romantik,Kanal D -  - Euro D -  - teve2,Sanem Çelik -  - Miray Daner -  - Ogeday Girişken -  - Tolga Tekin -  - Mert Yazıcıoğlu
Hayatımın Rolü,Süreç Film,Sadullah Celen -  - Hakan Arslan,1,9 Temmuz 2012 - 10 Aralık 2012,Aile -  - Dram -  - Komedi,Star TV,Haluk Bilginer -  - Ebru Özkan -  - Bekir Aksoy -  - Ebru Aykaç -  - İlhan Şeşen
